pr,pr_1,tas,tas_1,tasmax,tasmax_1,tasmin,tasmin_1,deltemp,deltemp_1,dengue_befor,dengue_befor_1,dengue_incidence
-0.944172667,-0.927946574,-2.084286267,-1.079060578,-0.823359547,0.383473566,-1.817730371,-1.237722756,1.399363137,1.654961724,0.521892462,0.52362516,0.19
-0.923256876,-0.976736754,-1.05854432,0.576864463,0.388105656,1.92892021,-1.220621281,-0.506457387,1.643411984,2.006888957,0.521892462,0.52362516,0.25
-0.97206039,-0.971758164,0.582642796,1.529021362,1.934847206,2.080784909,-0.493836986,0.652643738,1.994441148,0.840501555,0.521892462,0.52362516,0.37
-0.96708044,1.503596668,1.526325387,0.390572896,2.08683915,-0.898443159,0.658161357,0.731535437,0.831030204,-1.482218184,0.521892462,0.52362516,0.86
1.508950923,0.803606946,0.398009245,0.038688825,-0.894885168,-0.259718101,0.736569621,0.761878399,-1.485762279,-1.036443689,0.521892462,0.52362516,3.18
0.80876989,1.193928384,0.049256983,-0.168301806,-0.255624932,-0.112320011,0.766726646,0.740638326,-1.041125338,-0.902376171,0.521892462,0.52362516,9.55
1.199198005,0.175308918,-0.155891406,-0.002709301,-0.108103339,-0.134653055,0.745616729,0.801324248,-0.907399942,-0.98616837,0.521892462,0.52362516,7.81
0.180300143,2.721359724,0.008227305,-0.33389431,-0.130455096,-1.014574988,0.805930778,0.582854927,-0.990978314,-1.405129362,0.521892462,0.52362516,5.54
2.727046802,-0.590398188,-0.320010118,-0.458088688,-1.011114302,-0.451782279,0.5888002,0.103436137,-1.408870176,-0.453249988,0.521892462,0.52362516,1.78
-0.585616235,-0.688974265,-0.443099152,-0.996264326,-0.447850038,-0.795711157,0.11231921,-0.54286894,-0.459419866,0.002579571,0.521892462,0.52362516,0.92
-0.684219254,-0.976736754,-0.976484964,-2.776383746,-0.792067088,-1.760498657,-0.530025416,-2.187457447,-0.00475352,1.098581526,0.521892462,0.52362516,0.18
-0.97206039,-0.976736754,-2.740761114,-1.989819351,-1.75766297,-0.759978286,-2.164536155,-1.777827468,1.088451591,1.393530065,0.521892462,-0.493167629,0.06
-0.97206039,-0.976736754,-1.961197234,-0.623681192,-0.756304278,1.004332189,-1.757416321,-1.349991713,1.382647462,2.2448588,-0.496841624,-0.493167629,0.18
-0.97206039,-0.730794419,-0.607217863,0.121485077,1.009484487,1.048998277,-1.332202273,-0.561074717,2.231803726,1.403585129,-0.496841624,-0.493167629,0.25
-0.726050838,-0.407186085,0.131316339,1.073641976,1.054188,1.540325244,-0.548119631,0.452380193,1.392676867,0.652807031,-0.496841624,-0.493167629,0.74
-0.402354059,0.065779943,1.07499893,0.825253219,1.545926643,1.254462281,0.459124994,0.895387429,0.64381465,-0.047695748,-0.496841624,-0.493167629,5.13
0.070741234,0.949977486,0.828820863,0.411271959,1.259824159,-0.125719837,0.899417555,1.025862163,-0.054900543,-1.227489901,-0.496841624,-0.493167629,5.97
0.955180433,0.8065941,0.418524084,0.328475707,-0.121514393,0.209275823,1.029092761,0.904490317,-1.231684027,-0.838694101,-0.496841624,-0.493167629,4.5
0.81175786,0.568617509,0.336464728,-0.168301806,0.213761955,-0.442849062,0.908464662,0.716363957,-0.843880379,-1.126939263,-0.496841624,-0.493167629,3.04
0.573716229,3.367580676,-0.155891406,-0.251098058,-0.438909335,-0.317784015,0.721491109,0.300665386,-1.13138998,-0.573910754,-0.496841624,-0.493167629,1.64
3.37344437,0.935041716,-0.237950762,-0.251098058,-0.313739499,0.026144862,0.308339871,0.449345897,-0.579772722,-0.476711803,-0.496841624,-0.493167629,1.09
0.940240582,-0.749713061,-0.237950762,-0.872069948,0.030477551,-0.625980022,0.456109292,-0.203027773,-0.48282181,-0.245445336,-0.496841624,-0.493167629,0.85
-0.74497465,-0.698931445,-0.853395931,-1.989819351,-0.622193739,-2.408156933,-0.192266739,-1.401574747,-0.252145502,-0.258852088,-0.496841624,-0.493167629,0.12
-0.694179155,-0.976736754,-1.961197234,-2.238208108,-2.405863908,-0.974375509,-1.383469215,-2.196560335,-0.265518042,1.698533667,-0.496841624,-0.65707685,0.18
-0.97206039,-0.976736754,-2.207375301,-0.789273696,-0.97088114,0.115477038,-2.173583262,-1.049596395,1.686872738,1.246055796,-0.661063786,-0.65707685,0.06
-0.97206039,-0.797507522,-0.771336575,0.494068211,0.119884577,1.638590638,-1.033647728,-0.291022361,1.235549527,1.551059398,-0.661063786,-0.65707685,0.24
