,precipitation,temperature,dengue_incidence,temp_min,temp_max,deltemp,dengue_befor,precipitation1,temperature1,dengue_incidence1,temp_min1,temp_max1,deltemp1,dengue_befor1,precipitation,temperature,dengue_incidence,temp_min,temp_max,deltemp,dengue_befor,precipitation1,temperature1,dengue_incidence1,temp_min1,temp_max1,deltemp1,dengue_befor1,,precipitation,temperature,dengue_incidence,temp_min,temp_max,deltemp,dengue_befor,precipitation1,temperature1,dengue_incidence1,temp_min1,temp_max1,deltemp1,dengue_befor1
1/1/2004,2.8,21.5,0,15.42,31.38,15.96,6.21,4.9,24,0.19,17.4,34.09,16.69,6.21,97.59739583,26.57994792,4.209947917,21.44755208,33.22182292,11.77421875,4.335,98.09371728,26.6065445,4.231989529,21.47910995,33.23146597,11.75230366,4.325183246,ม.ค.-47,-0.944172667,-2.084286267,-0.594519016,-1.817730371,-0.823359547,1.399363137,0.521892462,-0.927946574,-1.079060578,-0.56983438,-1.237722756,0.383473566,1.654961724,0.52362516
1/2/2004,4.9,24,0.19,17.4,34.09,16.69,6.21,0,28,0.25,19.81,37.55,17.74,6.21,100.4026055,2.437260177,7.081267043,3.31597699,2.23696066,2.991204456,3.592694157,100.4300462,2.415568277,7.093270734,3.295657229,2.238834976,2.98357132,3.599553458,ก.พ.-47,-0.923256876,-1.05854432,-0.56768766,-1.220621281,0.388105656,1.643411984,0.521892462,-0.976736754,0.576864463,-0.561375658,-0.506457387,1.92892021,2.006888957,0.52362516
1/3/2004,0,28,0.25,19.81,37.55,17.74,6.21,0.5,30.3,0.37,23.63,37.89,14.26,6.21,,,,,,,,,,,,,,,มี.ค.-47,-0.97206039,0.582642796,-0.5592146,-0.493836986,1.934847206,1.994441148,0.521892462,-0.971758164,1.529021362,-0.544458216,0.652643738,2.080784909,0.840501555,0.52362516
1/4/2004,0.5,30.3,0.37,23.63,37.89,14.26,6.21,249.1,27.55,0.86,23.89,31.22,7.33,6.21,,,,,,,,,,,,,,0.004614792,เม.ย.-47,-0.96708044,1.526325387,-0.54226848,0.658161357,2.08683915,0.831030204,0.521892462,1.503596668,0.390572896,-0.475378659,0.731535437,-0.898443159,-1.482218184,0.52362516
1/5/2004,249.1,27.55,0.86,23.89,31.22,7.33,6.21,178.8,26.7,3.18,23.99,32.65,8.66,6.21,,,,,,,,,,,,,,1.000576207,พ.ค.-47,1.508950923,0.398009245,-0.473071824,0.736569621,-0.894885168,-1.485762279,0.521892462,0.803606946,0.038688825,-0.148308103,0.761878399,-0.259718101,-1.036443689,0.52362516
1/6/2004,178.8,26.7,3.18,23.99,32.65,8.66,6.21,218,26.2,9.55,23.92,32.98,9.06,6.21,,,,,,,,,,,,,,,มิ.ย.-47,0.80876989,0.049256983,-0.14544684,0.766726646,-0.255624932,-1.041125338,0.521892462,1.193928384,-0.168301806,0.749726138,0.740638326,-0.112320011,-0.902376171,0.52362516
1/7/2004,218,26.2,9.55,23.92,32.98,9.06,6.21,115.7,26.6,7.81,24.12,32.93,8.81,6.21,,,,,,,,,,,,,,,ก.ค.-47,1.199198005,-0.155891406,0.754109688,0.745616729,-0.108103339,-0.907399942,0.521892462,0.175308918,-0.002709301,0.504423221,0.801324248,-0.134653055,-0.98616837,0.52362516
1/8/2004,115.7,26.6,7.81,24.12,32.93,8.81,6.21,371.4,25.8,5.54,23.4,30.96,7.56,6.21,,19.33333333,,,,,,,,,,,,,ส.ค.-47,0.180300143,0.008227305,0.508390951,0.805930778,-0.130455096,-0.990978314,0.521892462,2.721359724,-0.33389431,0.1844016,0.582854927,-1.014574988,-1.405129362,0.52362516
1/9/2004,371.4,25.8,5.54,23.4,30.96,7.56,6.21,38.8,25.5,1.78,21.82,32.22,10.4,6.21,,,,,,,,,,,,,,,ก.ย.-47,2.727046802,-0.320010118,0.18782685,0.5888002,-1.011114302,-1.408870176,0.521892462,-0.590398188,-0.458088688,-0.345678266,0.103436137,-0.451782279,-0.453249988,0.52362516
1/10/2004,38.8,25.5,1.78,21.82,32.22,10.4,6.21,28.9,24.2,0.92,19.69,31.45,11.76,6.21,,,,,,,,,,,,,,,ต.ค.-47,-0.585616235,-0.443099152,-0.343151572,0.11231921,-0.447850038,-0.459419866,0.521892462,-0.688974265,-0.996264326,-0.466919938,-0.54286894,-0.795711157,0.002579571,0.52362516
