,precipitation,temperature,dengue_incidence,temp_min,temp_max,deltemp,dengue_befor,precipitation1,temperature1,dengue_incidence1,temp_min1,temp_max1,deltemp1,dengue_befor1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ม.ค.-04,2.8,21.5,0,15.42,31.38,15.96,1082.588094,4.9,24,2.497901763,17.4,34.09,16.69,1082.588094,99.81140351,26.68925439,3.882017544,21.48052632,33.26837719,11.7879386,4.01,-0.93645163,-2.147566753,0,-1.843017656,-0.857685566,1.404586185,0.639127396,9.1,22.3,1.63,15.11,30.59,15.48,2.02,,-0.875637694,-1.816487705,1.63,-1.93728925,-1.216497142,1.242987085,-0.578119781
ก.พ.-04,4.9,24,2.497901763,17.4,34.09,16.69,1082.588094,0,28,3.10563057,19.81,37.55,17.74,1082.588094,103.5946763,2.416341368,6.632017677,3.288371272,2.201712689,2.970313568,3.442193236,-0.916180318,-1.112944728,0.19,-1.240895865,0.373174398,1.650351484,0.639127396,0,23.5,0.9,15.14,32.74,17.6,4.2,,-0.963480046,-1.319869133,0.9,-1.928166193,-0.239984625,1.956716444,0.055197366
มี.ค.-04,0,28,3.10563057,19.81,37.55,17.74,1082.588094,0.5,30.3,6.177403921,23.63,37.89,14.26,1082.588094,,,,,,,,-0.963480046,0.542450513,0.25,-0.508010251,1.944678263,2.003849515,0.639127396,0,25.8,0.51,16.87,34.12,17.25,4.2,,-0.963480046,-0.368016869,0.51,-1.40206988,0.386800154,1.838883767,0.055197366
เม.ย.-04,0.5,30.3,6.177403921,23.63,37.89,14.26,1082.588094,249.1,27.55,12.34071987,23.89,31.22,7.33,1082.588094,,,,,,,,-0.958653543,1.494302776,0.37,0.653659063,2.099103498,0.832256039,0.639127396,5.1,29.4,0.56,19.63,37.53,17.9,4.2,,-0.914249717,1.121838847,0.56,-0.562748596,1.935594425,2.057715882,0.055197366
พ.ค.-04,249.1,27.55,12.34071987,23.89,31.22,7.33,1082.588094,178.8,26.7,64.2114256,23.99,32.65,8.66,1082.588094,,,,,,,,1.441083671,0.356218548,0.86,0.732725561,-0.930356265,-1.500830971,0.639127396,64.2,30.7,0.9,22.21,37.62,15.41,4.2,,-0.343757081,1.6598423,0.9,0.221834344,1.976471694,1.21942055,0.055197366
มิ.ย.-04,178.8,26.7,64.2114256,23.99,32.65,8.66,1082.588094,218,26.2,146.6093694,23.92,32.98,9.06,1082.588094,,,,,,,,0.762477371,0.00444706,3.18,0.763135752,-0.280861893,-1.053066797,0.639127396,41.5,31,1.46,24.67,37.39,12.72,4.2,,-0.56288031,1.783996943,1.46,0.969925054,1.872007564,0.313792259,0.055197366
ก.ค.-04,218,26.2,146.6093694,23.92,32.98,9.06,1082.588094,115.7,26.6,110.2051815,24.12,32.93,8.81,1082.588094,,,,,,,,1.140875194,-0.202477345,9.55,0.741848618,-0.130978576,-0.918400881,0.639127396,98.9,29.5,4.15,25.11,35.34,10.23,4.2,,-0.008797783,1.163223728,4.15,1.103729897,0.940914233,-0.524503074,0.055197366
ส.ค.-04,115.7,26.6,110.2051815,24.12,32.93,8.81,1082.588094,371.4,25.8,76.51279963,23.4,30.96,7.56,1082.588094,,,,,,,,0.153372712,-0.036937821,7.81,0.802669001,-0.15368817,-1.002567079,0.639127396,137.8,29.3,6.55,24.66,34.38,9.72,4.2,,0.366704138,1.080453966,6.55,0.966884035,0.50489004,-0.696202118,0.055197366
ก.ย.-04,371.4,25.8,76.51279963,23.4,30.96,7.56,1082.588094,38.8,25.5,29.49692986,21.82,32.22,10.4,1082.588094,,,,,,,,2.621646267,-0.368016869,5.54,0.583715622,-1.04844615,-1.423398069,0.639127396,389,27.6,4.88,24.15,32.16,8.01,4.2,,2.791539167,0.376910989,4.88,0.811792058,-0.503415908,-1.271898912,0.055197366
ต.ค.-04,38.8,25.5,29.49692986,21.82,32.22,10.4,1082.588094,28.9,24.2,10.44008008,19.69,31.45,11.76,1082.588094,,,,,,,,-0.588943425,-0.492171512,1.78,0.103234597,-0.476164396,-0.467270059,0.639127396,251.5,28.2,4.77,24.37,33.06,8.69,4.2,,1.464250885,0.625220275,4.77,0.87869448,-0.094643227,-1.042966854,0.055197366
